station_name,borrow_count,return_count,total_activity,current_station_match
捷運萬芳醫院站(興隆路三段115巷),583,107,690,True
復盛公園,45,644,689,True
建國五常街口,54,634,688,True
王貫英先生紀念圖書館,77,609,686,True
大龍公園,165,521,686,True
市民東興路口,111,572,683,True
雅祥公園(松信路50巷口),59,624,683,True
三興公園,49,633,682,True
南港國小,45,637,682,True
捷運臺電大樓站(5號出口),443,237,680,True
捷運唭哩岸站(1號出口),468,211,679,True
樂群二明水路口,58,619,677,True
小彎社會住宅,34,642,676,True
仁愛杭州路口,73,603,676,True
林森德惠街口,64,610,674,True
林森仁愛路口,203,469,672,True
臺大黑森林西側,72,599,671,True
平安新城,32,638,670,True
臥龍基隆路口,368,301,669,True
芳和國中,56,609,665,False
東陽公園,31,634,665,True
臺北市立大學(博愛校區),305,357,662,True
仁愛路四段496巷口,120,538,658,True
臺北數位產業園區,158,498,656,True
捷運大安站(2號出口),416,239,655,True
民權延平路口(西北側),448,202,650,True
復興南路一段126巷口,414,233,647,True
捷運古亭站(7號出口),489,158,647,True
松高路(信義新天地A4館),386,261,647,True
臺大計資中心南側,23,624,647,True
白雲國小,0,646,646,False
兒童新樂園,115,530,645,True
松江長春路口,358,287,645,True
世貿三館,326,315,641,True
忠孝東路四段49巷口,431,210,641,True
萬和二號公園,82,559,641,True
大湖國小,47,594,641,True
富臺公園,185,454,639,True
臺大電機二館東南側,68,570,638,True
臺大醫院兒童醫院,375,263,638,True
三民路166巷口,175,463,638,True
喬治工商,126,509,635,True
仁愛路四段122巷口,221,414,635,True
辛亥新生路口西北側,81,554,635,True
士林高商,74,560,634,True
至誠雨聲街口,54,579,633,True
華聲公園,155,477,632,True
永吉公園,167,465,632,True
文山第二行政中心,189,443,632,True
市立圖書館葫蘆堵分館,31,600,631,True
糖?文化園區,111,519,630,False
承德民生西路口,340,289,629,True
臺大共同教室東南側,459,169,628,True
金甌女中,227,399,626,True
仁愛逸仙路口,304,322,626,True
新生南路三段52號前,262,361,623,True
市民復興路口(東南側),220,402,622,True
臺大生命科學館西北側,249,370,619,True
南港公園(福德街),59,556,615,True
南京伊通街口,341,274,615,True
大度立德路口,208,407,615,True
國家圖書館,143,471,614,True
五常國中,62,551,613,True
萬華國中_1,285,327,612,True
中崙福成宮,117,493,610,True
民權運動公園,187,423,610,True
福林公園,460,149,609,True
捷運南港站(2號出口),541,68,609,True
農安雙城街口,169,440,609,True
興隆路2段203巷,29,578,607,True
民權復興路口,161,446,607,True
吳興街284巷(廣安宮),28,579,607,True
大龍峒社會住宅,419,188,607,True
洲子一號公園,104,501,605,True
仁愛路四段48巷口,72,533,605,True
國順公園,151,451,602,True
福山公園,30,571,601,True
臺泥大樓,275,323,598,True
辛亥路一段30號前,397,201,598,True
九華公園,10,587,597,True
捷運忠孝新生站(5號出口),448,147,595,True
石牌國小,424,171,595,True
士商路40巷口,24,570,594,True
中央北路四段30巷口,92,502,594,False
復興南路二段280號前,411,183,594,True
四維路170巷口,150,441,591,True
民族林森路口,68,522,590,True
景美醫院,412,177,589,True
錦州吉林路口,178,409,587,True
安泰街83巷,16,570,586,True
大同運動中心,121,465,586,True
啟明學校,130,455,585,True
原臺北刑務所官舍,115,469,584,True
師範大學公館校區_1,132,451,583,True
中山青島路口,364,218,582,True
敦化南路二段293巷口南側,457,124,581,True
民權東路三段106巷口,291,289,580,True
福林公園(中正路),304,272,576,False
重慶長安路口,177,399,576,True
仁愛林森路口,64,509,573,True
文山運動中心,395,178,573,True
民權吉林路口(南側),272,301,573,True
環河南雙園街口,39,533,572,True
力行橋(南港),222,350,572,True
萬華火車站(D2廣場),349,221,570,True
樂利路21巷口,67,503,570,True
景聯廣場,224,345,569,True
立人國小,125,442,567,True
金杭公園,88,478,566,True
龍山國小,211,354,565,True
新生農安街口,99,466,565,True
萬大路486巷口,339,225,564,True
基隆路一段101巷口,133,430,563,True
克勤新村,19,543,562,True
林森濟南路口(東北側),247,314,561,True
立功立德路口,46,513,559,True
臺大國青大樓宿舍前,55,503,558,True
復興公園,76,482,558,True
復興南路二段340巷口,151,407,558,True
興旺公園,12,546,558,True
臺大水源舍區B棟,80,476,556,True
捷運忠孝新生站(6號出口),447,108,555,True
國家生技園區,16,538,554,True
雙園國中,88,466,554,True
新奇岩社會住宅,40,512,552,True
塔悠八德路口,279,273,552,True
景美運動公園,91,460,551,True
植物園,80,470,550,True
郵政博物館,266,282,548,True
建國長春路口,58,489,547,True
寶慶博愛路口,261,284,545,True
法治公園,48,495,543,True
東園國小,113,425,538,True
基隆路二段159巷口,256,281,537,True
臺大水源舍區A棟,112,425,537,True
振興公園,68,468,536,True
捷運忠義站(2號出口),496,38,534,True
安和路二段181巷口,60,474,534,True
協和祐德高級中學,277,255,532,True
臺北田徑場(北寧路側),310,221,531,True
龍興里活動中心,32,497,529,True
文湖街81巷10號西側,16,512,528,True
百福公園,12,513,525,True
敬業三樂群三路口(西北側),354,170,524,False
忠孝東路六段278巷口,63,459,522,True
羅斯福景隆街口,346,176,522,True
榮富公園,40,480,520,True
重慶北路三段383巷口,43,477,520,True
安康公園,451,69,520,True
吳興街284巷36弄口,15,502,517,True
樂群二明水路口_1,122,394,516,True
延平北中正路口,264,252,516,True
北投公園露天溫泉,132,384,516,True
河堤國小,56,460,516,True
綠堤社區公園,29,484,513,True
金華杭州南路口,130,382,512,True
臺大總圖書館西南側,130,382,512,True
捷運南港軟體園區(2號出口),319,193,512,True
臺大社科院圖書館前,76,435,511,True
介壽國中,64,446,510,True
宏匯瑞光廣場(港墘路),289,218,507,True
辛亥泰順街口,77,430,507,True
福祥公園,29,478,507,True
民權迪化街口,144,361,505,True
國北教大實小東側門,109,396,505,True
臺大土木研究大樓前,122,383,505,True
中華貴陽街口,164,340,504,True
濟南紹興路口,218,286,504,True
成福路197巷口,23,479,502,True
臺大法人語言訓練中心前,83,418,501,True
港都公園,41,460,501,True
考試院,92,408,500,True
民族玉門街口,406,93,499,True
承德路七段304巷口,60,439,499,True
臺大一號館,365,134,499,True
承德路七段188巷口,72,423,495,True
景新公園,128,365,493,True
